Raw Dependency Data Export
==================================================

DEPENDENCY: aes-gcm, LATEST: 0.11.0-rc.1
  projects.prontodb         0.10         dep  oodx/projects/prontodb/Cargo.toml

DEPENDENCY: anyhow, LATEST: 1.0.99
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.prontodb         1            dep  oodx/projects/prontodb/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml
  projects.porty            1            dep  oodx/projects/porty/Cargo.toml

DEPENDENCY: assert_cmd, LATEST: 2.0.17
  projects.hub              2.0          dev  oodx/projects/hub/Cargo.toml
  projects.prontodb         2.0          dev  oodx/projects/prontodb/Cargo.toml
  projects.rsb              2.0          dev  oodx/projects/rsb/Cargo.toml

DEPENDENCY: assert_fs, LATEST: 1.1.3
  projects.rsb              1.0          dev  oodx/projects/rsb/Cargo.toml

DEPENDENCY: assert_matches, LATEST: 1.5.0
  projects.kick             1.5          dev  oodx/projects/kick/Cargo.toml

DEPENDENCY: async-trait, LATEST: 0.1.89
  projects.kick             0.1          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       0.1          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: atty, LATEST: 0.2.14
  projects.prontodb         0.2          dep  oodx/projects/prontodb/Cargo.toml

DEPENDENCY: base64, LATEST: 0.22.1
  projects.hub              0.22         dep  oodx/projects/hub/Cargo.toml
  projects.rsb              0.22         dep  oodx/projects/rsb/Cargo.toml
  projects.nox_server       0.22         dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: bitflags, LATEST: 2.9.4
  projects.paintbox         2            dep  oodx/projects/paintbox/Cargo.toml

DEPENDENCY: bytes, LATEST: 1.10.1
  projects.kick             1.0          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       1.0          dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: chrono, LATEST: 0.4.42
  projects.hub              0.4          dep  oodx/projects/hub/Cargo.toml
  projects.kick             0.4          dep  oodx/projects/kick/Cargo.toml
  projects.rsb              0.4          dep  oodx/projects/rsb/Cargo.toml
  projects.nox_server       0.4          dep  oodx/projects/nox_server/Cargo.toml
  projects.boxy             0.4          dep  oodx/projects/boxy/Cargo.toml
  projects.porty            0.4          dep  oodx/projects/porty/Cargo.toml
  padlokk.padlock_orig      0.4          dep  prods/padlokk/padlock_orig/Cargo.toml
  padlokk.cage              0.4          dep  prods/padlokk/cage/Cargo.toml

DEPENDENCY: clap, LATEST: 4.5.47
  projects.kick             4.0          dep  oodx/projects/kick/Cargo.toml
  projects.nox_server       4.0          dep  oodx/projects/nox_server/Cargo.toml
  projects.jynx             4.0          dep  oodx/projects/jynx/Cargo.toml
  padlokk.padlock_orig      4.4          dep  prods/padlokk/padlock_orig/Cargo.toml

DEPENDENCY: cookie, LATEST: 0.18.1
  projects.nox_server       0.18         dep  oodx/projects/nox_server/Cargo.toml

DEPENDENCY: criterion, LATEST: 0.7.0
  projects.rolo             0.5          dev  oodx/projects/rolo/Cargo.toml
  projects.jynx             0.7          dev  oodx/projects/jynx/Cargo.toml

DEPENDENCY: csv, LATEST: 1.3.1
